?x	?label
_:B4a88e335X2D5c4cX2D4f06X2Db142X2D80b810de94c0genid42	
_:B4a88e335X2D5c4cX2D4f06X2Db142X2D80b810de94c0genid52	
_:B4a88e335X2D5c4cX2D4f06X2Db142X2D80b810de94c0genid58	
_:B4a88e335X2D5c4cX2D4f06X2Db142X2D80b810de94c0genid65	
_:B4a88e335X2D5c4cX2D4f06X2Db142X2D80b810de94c0genid74	
<http://humanbehaviourchange.org/ontology/BCIO_003000>	"behaviour change intervention"
<http://humanbehaviourchange.org/ontology/BCIO_006064>	"psychological need"
<http://humanbehaviourchange.org/ontology/BCIO_028000>	"behaviour change intervention scenario plan"
<http://humanbehaviourchange.org/ontology/BCIO_037000>	"intervention"
<http://purl.obolibrary.org/obo/BFO_0000001>	"entity"
<http://purl.obolibrary.org/obo/BFO_0000002>	"continuant"
<http://purl.obolibrary.org/obo/BFO_0000003>	"occurrent"
<http://purl.obolibrary.org/obo/BFO_0000015>	"process"
<http://purl.obolibrary.org/obo/BFO_0000015>	"process"
<http://purl.obolibrary.org/obo/BFO_0000016>	"disposition"
<http://purl.obolibrary.org/obo/BFO_0000017>	"realizable"
<http://purl.obolibrary.org/obo/BFO_0000017>	"realizable entity"
<http://purl.obolibrary.org/obo/BFO_0000019>	"quality"
<http://purl.obolibrary.org/obo/BFO_0000019>	"quality"
<http://purl.obolibrary.org/obo/BFO_0000020>	"characteristic"
<http://purl.obolibrary.org/obo/BFO_0000020>	"specifically dependent continuant"
<http://purl.obolibrary.org/obo/BFO_0000020>	"specifically dependent continuant"
<http://purl.obolibrary.org/obo/BFO_0000031>	"generically dependent continuant"
<http://purl.obolibrary.org/obo/GO_0008150>	"biological_process"
<http://purl.obolibrary.org/obo/IAO_0000027>	"data item"
<http://purl.obolibrary.org/obo/IAO_0000030>	"information content entity"
<http://purl.obolibrary.org/obo/IAO_0000030>	"information content entity"
<http://purl.obolibrary.org/obo/IAO_0000033>	"directive information entity"
<http://purl.obolibrary.org/obo/IAO_0000033>	"directive information entity"
<http://purl.obolibrary.org/obo/IAO_0000078>	"curation status specification"
<http://purl.obolibrary.org/obo/IAO_0000102>	"data about an ontology part"
<http://purl.obolibrary.org/obo/IAO_0000225>	"obsolescence reason specification"
<http://purl.obolibrary.org/obo/IAO_0000409>	"denotator type"
<http://purl.obolibrary.org/obo/IAO_0000409>	"denotator type"
<http://purl.obolibrary.org/obo/MF_0000032>	"bodily disposition"
<http://purl.obolibrary.org/obo/MF_0000032>	"bodily disposition"
<http://purl.obolibrary.org/obo/MF_0000033>	"mental disposition"
<http://purl.obolibrary.org/obo/MF_0000033>	"mental disposition"
<http://purl.obolibrary.org/obo/MF_0000074>	"bodily quality"
<http://purl.obolibrary.org/obo/MF_0000075>	"mental quality"
<http://purl.obolibrary.org/obo/OBI_0000011>	"planned process"
<http://purl.obolibrary.org/obo/OBI_0000260>	"plan"
<http://purl.obolibrary.org/obo/PHASES_0000000>	"reminiscence therapy process"
<http://purl.obolibrary.org/obo/PHASES_0000005>	"cognitive appraisal representational pattern quality"
<http://purl.obolibrary.org/obo/PHASES_0000006>	"self-appraisal representational pattern quality"
<http://purl.obolibrary.org/obo/PHASES_0000007>	"self-efficacy representational pattern quality"
<http://purl.obolibrary.org/obo/PHASES_0000008>	"psychological construct information content entity"
<http://purl.obolibrary.org/obo/PHASES_0000009>	"psychoanalytic psychological identity construct information content entity"
<http://purl.obolibrary.org/obo/PHASES_0000010>	"performative identity quality"
<http://purl.obolibrary.org/obo/PHASES_0000012>	"self-transcendence disposition"
<http://purl.obolibrary.org/obo/PHASES_0000024>	"healthy aging process"
<http://purl.obolibrary.org/obo/PHASES_0000025>	"successful aging construct information content entity"
<http://purl.obolibrary.org/obo/PHASES_0000030>	"representational pattern quality"
<http://purl.obolibrary.org/obo/PHASES_0000031>	"cognitive representational pattern quality"
<http://purl.obolibrary.org/obo/PHASES_0000032>	"mental representational pattern quality"
<http://purl.obolibrary.org/obo/PHASES_0000036>	"personal identity quality"
<http://purl.obolibrary.org/obo/PHASES_0000038>	"narrative identity quality"
<http://purl.obolibrary.org/obo/PHASES_0000039>	"ego identity quality"
<http://purl.obolibrary.org/obo/PHASES_0000046>	"social convention directive information entity"
<http://purl.obolibrary.org/obo/PHASES_0002001>	"gerotranscendence disposition"
<http://purl.obolibrary.org/obo/PHASES_0002004>	"theory information content entity"
<http://purl.obolibrary.org/obo/PHASES_0002005>	"psychological theory"
<http://purl.obolibrary.org/obo/PHASES_0002006>	"social convoy model"
<http://purl.obolibrary.org/obo/PHASES_0002007>	"ego integrity theory (Erikson)"
<http://purl.obolibrary.org/obo/PHASES_0002008>	"self-transcendence theory"
<http://purl.obolibrary.org/obo/phases.owl/PHASES_0000050>	"transcendence disposition"
<http://purl.obolibrary.org/obo/phases.owl/PHASES_0000055>	"need for a sense of belonging to a community"
<http://www.geneontology.org/formats/oboInOwl#Subset>	
