?x	?label
<http://purl.obolibrary.org/obo/BFO_0000001>	"entity"
<http://purl.obolibrary.org/obo/BFO_0000002>	"continuant"
<http://purl.obolibrary.org/obo/BFO_0000016>	"disposition"
<http://purl.obolibrary.org/obo/BFO_0000017>	"realizable"
<http://purl.obolibrary.org/obo/BFO_0000017>	"realizable entity"
<http://purl.obolibrary.org/obo/BFO_0000020>	"characteristic"
<http://purl.obolibrary.org/obo/BFO_0000020>	"specifically dependent continuant"
<http://purl.obolibrary.org/obo/BFO_0000020>	"specifically dependent continuant"
<http://purl.obolibrary.org/obo/BFO_0000031>	"generically dependent continuant"
<http://purl.obolibrary.org/obo/IAO_0000030>	"information content entity"
<http://purl.obolibrary.org/obo/MF_0000032>	"bodily disposition"
<http://purl.obolibrary.org/obo/MF_0000032>	"bodily disposition"
<http://purl.obolibrary.org/obo/MF_0000033>	"mental disposition"
<http://purl.obolibrary.org/obo/MF_0000033>	"mental disposition"
<http://purl.obolibrary.org/obo/PHASES_0000012>	"self-transcendence"
<http://purl.obolibrary.org/obo/PHASES_0002001>	"gerotranscendence"
<http://purl.obolibrary.org/obo/PHASES_0002004>	"theory"
<http://purl.obolibrary.org/obo/PHASES_0002004>	"theory information content entity"
<http://purl.obolibrary.org/obo/PHASES_0002005>	"psychological theory"
<http://purl.obolibrary.org/obo/PHASES_0002007>	"ego integrity theory (Erikson)"
<http://purl.obolibrary.org/obo/PHASES_0002008>	"self-transcendence theory"
<http://purl.obolibrary.org/obo/phases.owl/PHASES_0000050>	"transcendence disposition"
